holding_id,filer_name,filer_cik,accession_number,filing_date,report_period,issuer_name,cusip,security_class,shares,value_usd,source_name,source_url,source_type,estimation_status,aggregation_note
BR13F-001,"BlackRock, Inc.",0002012383,0002012383-26-003238,2026-08-07,2026-06-30,"Lockheed Martin Corporation",539830109,COM,18877978,9617574406,"U.S. Securities and Exchange Commission",https://www.sec.gov/Archives/edgar/data/2012383/000201238326003238/0002012383-26-003238-index.htm,"Form 13F combination report",OBSERVED_REGULATORY_FILING,"Sum of all information-table rows with the same CUSIP; the filing covers reporting subsidiaries and the parent disclaims investment discretion over subsidiary positions."
BR13F-002,"BlackRock, Inc.",0002012383,0002012383-26-003238,2026-08-07,2026-06-30,"Northrop Grumman Corporation",666807102,COM,11783817,6001615890,"U.S. Securities and Exchange Commission",https://www.sec.gov/Archives/edgar/data/2012383/000201238326003238/0002012383-26-003238-index.htm,"Form 13F combination report",OBSERVED_REGULATORY_FILING,"Sum of all information-table rows with the same CUSIP; the filing covers reporting subsidiaries and the parent disclaims investment discretion over subsidiary positions."
BR13F-003,"BlackRock, Inc.",0002012383,0002012383-26-003238,2026-08-07,2026-06-30,"RTX Corporation",75513E101,COM,110528494,20970571023,"U.S. Securities and Exchange Commission",https://www.sec.gov/Archives/edgar/data/2012383/000201238326003238/0002012383-26-003238-index.htm,"Form 13F combination report",OBSERVED_REGULATORY_FILING,"Sum of all information-table rows with the same CUSIP; the filing covers reporting subsidiaries and the parent disclaims investment discretion over subsidiary positions."
BR13F-004,"BlackRock, Inc.",0002012383,0002012383-26-003238,2026-08-07,2026-06-30,"Exxon Mobil Corporation",30231G102,COM,334746496,45766540926,"U.S. Securities and Exchange Commission",https://www.sec.gov/Archives/edgar/data/2012383/000201238326003238/0002012383-26-003238-index.htm,"Form 13F combination report",OBSERVED_REGULATORY_FILING,"Sum of all information-table rows with the same CUSIP; the filing covers reporting subsidiaries and the parent disclaims investment discretion over subsidiary positions."
