Date,company_price,benchmark_price,company_return,benchmark_return,abnormal_return,company_cumulative_return,benchmark_cumulative_return,cumulative_abnormal_return
2025-01-02,595.0108642578125,20024.66015625,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,606.4381713867188,19906.080078125,0.019205207527025703,-0.005921702400926376,0.02512690992795208,0.019205207527025703,-0.005921702400926376,0.02512690992795208
2025-01-06,597.3751831054688,20216.189453125,-0.014944620422764676,0.015578625916449651,-0.030523246339214327,0.003973572567629313,0.009564671529030733,-0.005396336411262248
2025-01-07,607.8173828125,20340.5703125,0.01748013644079971,0.0061525372851991555,0.011327599155600554,0.021523167599068582,0.01577605581243291,0.005931262744338306
2025-01-08,639.1441040039062,20329.939453125,0.05153969280452442,-0.0005226431320102254,0.05206233593653464,0.07417215784982933,0.015245167433202145,0.05799359868087295
2025-01-09,639.5381469726562,20317.099609375,0.0006165166294760382,-0.0006315731426355109,0.0012480897721115491,0.07483440284806386,0.014603965852260758,0.0592416884529845
2025-01-10,640.3262939453125,20214.7890625,0.0012323689781243985,-0.00503568663057552,0.006268055608699918,0.07615899542275462,0.009494738226089705,0.06550974406168442
2025-01-13,635.2036743164062,20132.849609375,-0.008000014488462881,-0.004053440917521356,-0.003946573570941525,0.06754970786748293,0.005402810948141656,0.06156317049074289
2025-01-14,645.2518310546875,20271.330078125,0.015818795048839762,0.0068783342366753875,0.008940460812164375,0.08443705790068745,0.012318307524335825,0.07050363130290727
2025-01-15,646.6310424804688,20574.6796875,0.0021374777403218026,0.01496446499592774,-0.012826987255605937,0.08675501797273033,0.027467109402020462,0.05767664404730133
2025-01-16,675.7904663085938,20655.390625,0.04509437671948113,0.003922828385466204,0.04117154833401493,0.13576155815497915,0.031497686543915604,0.09884819238131626
2025-01-17,684.0654907226562,20903.390625,0.012244955835591487,0.01200655095333003,0.00023840488226145595,0.14966890827434942,0.043882416075647246,0.09908659726357771
2025-01-20,682.09521484375,20990.310546875,-0.0028802445169757718,0.004158173352558636,-0.007038417869534408,0.14635758070495464,0.04822306012137756,0.0920481793940433
2025-01-21,694.9017333984375,21042.0,0.018775265206370184,0.002462538751371479,0.016312726454998705,0.167880748304023,0.05080435002700767,0.10836090584904201
2025-01-22,707.1171875,21254.26953125,0.01757867841518035,0.010087897122421863,0.007490781292758486,0.18841054840573968,0.06140475620587349,0.1158516871418005
2025-01-23,722.6820678710938,21411.529296875,0.02201174097623504,0.007398972963704065,0.014612768012530974,0.21456953357067232,0.06925806130058776,0.13046445515433147
2025-01-24,720.7117919921875,21394.9296875,-0.002726338408686968,-0.0007752650053549637,-0.0019510734033320043,0.21125820600127754,0.06842910294396765,0.12851338175099947
2025-01-27,712.4368286132812,21282.1796875,-0.0114816539299748,-0.005269940198301959,-0.006211713731672841,0.19735095846012873,0.06279854546532748,0.12230166801932663
2025-01-28,721.3029174804688,21430.580078125,0.012444736868032047,0.006972988331273244,0.005471748536758803,0.21225167607685091,0.07020942732135138,0.12777341655608543
2025-01-29,731.3511352539062,21637.529296875,0.013930649010177598,0.009656725016101708,0.00427392399407589,0.22913912868827713,0.08054414547063327,0.13204734055016132
2025-01-30,735.8826293945312,21727.19921875,0.006196058120634174,0.004144184885653823,0.0020518732349803503,0.23675494616797543,0.0850221201865744,0.13409921378514167
2025-01-31,744.1576538085938,21732.05078125,0.011245032948897116,0.00022329442700619317,0.011021738521890923,0.2506622962873457,0.08526439957919041,0.1451209523070326
2025-02-03,752.629638671875,21428.240234375,0.011384664015644752,-0.013979837887049373,0.025364501902694125,0.2649006663276119,0.07009257920848744,0.17048545420972672
2025-02-04,746.9159545898438,21505.69921875,-0.00759162779200917,0.0036148084736673525,-0.011206436265676523,0.2552980112749883,0.07396075893141885,0.1592790179440502
2025-02-05,737.6558227539062,21585.9296875,-0.012397823046935152,0.003730660785958184,-0.016128483832893337,0.23973504866003137,0.07796734222042212,0.14315053411115686
2025-02-06,695.8869018554688,21902.419921875,-0.05662386116942819,0.014661876461048218,-0.07128573763047641,0.16953646337783135,0.09377236622110252,0.07186479648068045
2025-02-07,712.6339111328125,21787.0,0.024065705551707506,-0.005269733768537788,0.029335439320245293,0.19768218353746758,0.08800847704773362,0.10120023580092574
2025-02-10,720.1207275390625,21911.740234375,0.010505837975558707,0.0057254433549822625,0.004780394620576445,0.21026483850392563,0.094237807952811,0.10598063042150219
2025-02-11,720.5148315429688,22037.830078125,0.0005472749066022242,0.005754442248826486,-0.0052071673422242615,0.21092718608038186,0.10053453622515796,0.10077346307927793
2025-02-12,717.1654052734375,22148.029296875,-0.004648656936538709,0.005000456867093606,-0.009649113803632314,0.2052980010171659,0.10603771170429876,0.09112434927564561
2025-02-13,745.7338256835938,22612.01953125,0.039835190320235636,0.020949504272168795,0.01888568604806684,0.25331127628028427,0.12920865347082766,0.11001003532371245
2025-02-14,804.8408813476562,22513.419921875,0.07926025832324379,-0.004360495498366923,0.08362075382161072,0.3526490517976939,0.12428474422065117,0.19363078914532317
2025-02-17,917.7352905273438,22798.08984375,0.14026922811208697,0.012644454856829856,0.12762477325525712,0.5423840901999029,0.13850071191517177,0.3212555624005803
