company_id,company_name,market_data_ticker,benchmark_ticker,trade_currency,primary_listing_exchange,analysis_tier,role_category,is_confirmatory,Date,company_price,benchmark_price,company_return,benchmark_return,abnormal_return,company_cumulative_return,benchmark_cumulative_return,cumulative_abnormal_return,ols_event_date,ols_estimation_window_observations,ols_status,ols_alpha,ols_beta,ols_r_squared,market_model_expected_return,market_model_abnormal_return,market_model_cumulative_abnormal_return
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-02,22.23395347595215,25475.529296875,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.0016228733462408816,-0.0016228733462408816,-0.0016228733462408816
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-03,22.28239250183105,25917.5703125,0.002178606064427324,0.017351592992386866,-0.015172986927959542,0.002178606064427324,0.017351592992386866,-0.015172986927959542,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.01817343432761623,-0.015994828263188907,-0.017617701609429787
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-04,22.476152420043945,26447.849609375,0.008695651429574847,0.020460224105931957,-0.01176457267635711,0.010893201892940851,0.03816683457953807,-0.026937559604316652,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.02113855625249671,-0.012442904822921864,-0.03006060643235165
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-05,22.040193557739254,26672.140625,-0.019396507647630457,0.00848050102135689,-0.027877008668987346,-0.008714595828513194,0.04697100948052868,-0.054814568273304,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.00971187412952146,-0.029108381777151915,-0.059168988209503566
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-06,22.76679039001465,26970.099609375,0.03296689887826565,0.011171168769848139,0.02179573010841751,0.023965009850308805,0.05866689932457403,-0.03301883816488649,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.012278327865012092,0.020688571013253557,-0.038480417196250005
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-09,22.815231323242188,27560.890625,0.002127701463302767,0.021905407254025677,-0.01977770579072291,0.026143701700138244,0.08185742890063552,-0.0527965439556094,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.02251702287698909,-0.020389321413686323,-0.05886973860993633
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-10,22.71835327148437,27383.669921875,-0.004246200723773685,-0.0064301515337913395,0.002183950810017654,0.021786489571283374,0.07490092169484663,-0.050612593145591744,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.004510431827882986,0.00026423110410930036,-0.05860550750582703
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-11,21.94331169128418,27777.5390625,-0.03411521825276875,0.014383358466878216,-0.04849857671964697,-0.013071979528171407,0.09036160696796136,-0.09911116986523871,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.015342227616911976,-0.04945744586968073,-0.10806295337550775
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-12,21.99175262451172,28076.349609375,0.0022075488836437174,0.010757272132807305,-0.008549723249163588,-0.010893287678342078,0.10209092349728088,-0.1076608931144023,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.011883538664139522,-0.009675989780495805,-0.11773894315600356
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-13,21.99175262451172,28254.05078125,0.0,0.006329212107248683,-0.006329212107248683,-0.010893287678342078,0.10906629071356866,-0.11399010522165098,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.007659898937553403,-0.007659898937553403,-0.12539884209355695
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-16,22.66991233825684,28456.640625,0.030837001730787517,0.007170293750744072,0.023666707980043444,0.01960779772145438,0.11701862180703304,-0.09032339724160754,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.008462152254415635,0.02237484947637188,-0.10302399261718506
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-17,23.39651298522949,28635.939453125,0.03205132142246825,0.006300772831473234,0.025750548590995015,0.05228757497107961,0.12405670239156441,-0.06457284865061252,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.007632772553930052,0.024418548868538198,-0.07860544374864686
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-18,24.02623176574707,28819.2890625,0.02691506981895686,0.006402779614586462,0.020512290204370398,0.08060996852104707,0.13125378973127644,-0.044060558446242126,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.007730070219059137,0.019184999599897723,-0.05942044414874914
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-19,24.99502944946289,28100.0703125,0.040322498058017686,-0.02495615864916867,0.06527865670718636,0.12418286187821148,0.1030220406822695,0.02121809826094423,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.02218119039391067,0.06250368845192836,0.0030832443031792167
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-20,25.043472290039062,28476.560546875,0.0019380989597999054,0.013398195456027828,-0.011460096496227923,0.1263616395134426,0.11780054557563724,0.009758001764716306,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.014402544413483414,-0.012464445453683509,-0.009381201150504292
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-23,25.043472290039062,28692.689453125,0.0,0.007589712454712849,-0.007589712454712849,0.1263616395134426,0.12628433029827746,0.0021682893100034573,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.008862208597358347,-0.008862208597358347,-0.01824340974786264
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-24,25.33411026000977,28567.0,0.01160533837339739,-0.00438053927744686,0.01598587765084425,0.13943344747081077,0.12135059755183297,0.018154166960847706,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.0025554394158498516,0.01416077778924724,-0.004082631958615399
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-25,25.28567123413086,28429.44921875,-0.0019120081732403316,-0.004815023672419261,0.002903015499178929,0.13725484140638322,0.11595126787953935,0.021057182460026636,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.002969865945886706,0.0010578577726463746,-0.003024774185969024
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-26,26.06070899963379,28790.400390625,0.03065126325208145,0.012696382863335298,0.017954880388746153,0.17211313893503433,0.13011981243336246,0.03901206284877279,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.013733130826042123,0.016918132426039328,0.013893358240070304
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-27,25.963830947875977,29075.859375,-0.0037173989302889954,0.009915075181377242,-0.013632474111666237,0.16775592680617946,0.1413250353376032,0.02537958873710655,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.011080221527258346,-0.014797620457547341,-0.0009042622174770375
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-30,25.721630096435547,28869.140625,-0.009328394254556005,-0.007109635087097055,-0.00221875916745895,0.15686263912783693,0.1332106308205847,0.0231608295696476,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.005158547190533668,-0.004169847064022337,-0.005074109281499374
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-01-31,25.77007102966309,28813.25,0.0018832761782954233,-0.0019359989175292691,0.0038192750958246924,0.15904133097766637,0.1310167362659833,0.026980104665472293,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.00022375065874260516,0.0021070268370380284,-0.002967082444461346
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-01,26.06070899963379,28849.880859375,0.011278120639875544,0.001271319943949356,0.010006800695926188,0.17211313893503433,0.13245462039973877,0.03698690536139848,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.00283550311852775,0.008442617521347794,0.005475535076886449
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-02,26.10915184020996,29808.919921875,0.0018588458424846355,0.033242392479009286,-0.03138354663652465,0.17429191657026544,0.17010012135573427,0.00560335872487383,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.03333063897514031,-0.031471793132655676,-0.025996258055769227
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-03,26.10915184020996,29778.58984375,0.0,-0.0010174832970967218,0.0010174832970967218,0.17429191657026544,0.16890956402632407,0.006620842021970552,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.0006523619146092855,-0.0006523619146092855,-0.026648619970378512
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-06,26.012269973754883,29321.7109375,-0.0037106477854202957,-0.015342529940043148,0.011631882154622852,0.169934532870607,0.15097553404304742,0.018252724176593405,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.013011372483100189,0.009300724697679893,-0.01734789527269862
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-07,25.721630096435547,29179.029296875,-0.01117318394790523,-0.004866074866133441,-0.006307109081771789,0.15686263912783716,0.14537480092530597,0.011945615094821616,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.0030185603738339993,-0.008154623574071231,-0.02550251884676985
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-08,26.06070899963379,29218.640625,0.013182636634107903,0.0013575272748789224,0.01182510935922898,0.17211313893503455,0.14692967845752114,0.023770724454050596,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.0029177307092865586,0.010264905924821344,-0.015237612921948506
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-09,25.673189163208008,29036.390625,-0.014869888475836479,-0.006237456503847882,-0.008632431971988597,0.15468394727800794,0.1397757544751701,0.015138292482061999,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.004326632516471842,-0.010543255959364638,-0.025780868881313146
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-10,26.206029891967773,28394.759765625,0.02075475412783434,-0.022097473052403505,0.042852227180237845,0.1786491286991203,0.11458959045487216,0.057990519662299844,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.01945447531267288,0.04020922944050722,0.014428360559194074
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-13,26.73887062072754,28509.099609375,0.020332752841859536,0.004026793841320764,0.016305959000538772,0.20261431012023268,0.1190778129533161,0.07429647866283862,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.005463771243018847,0.014868981598840689,0.029297342158034763
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-14,26.73887062072754,28331.359375,0.0,-0.006234508869461197,0.006234508869461197,0.20261431012023268,0.11210091240284137,0.08053098753229981,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.004323820958899633,0.004323820958899633,0.033621163116934395
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-15,27.07794952392578,28651.029296875,0.01268112284949674,0.011283253925227443,0.0013978689242692965,0.21786480992743007,0.12464902938795985,0.08192885645656911,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.012385238636837251,0.0002958842126594887,0.033917047329593886
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-16,27.271709442138672,29027.849609375,0.0071556348105932255,0.013152068939495276,-0.005996434128902051,0.22657940575594337,0.13944049095520672,0.07593242232766706,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.014167780266883572,-0.007012145456290347,0.02690490187330354
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-17,27.80455017089844,28857.810546875,0.01953822256321258,-0.005857790528344342,0.025396013091556924,0.25054458717705597,0.1327658872396773,0.10132843541922398,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.00396449372708912,0.023502716290301703,0.05040761816360524
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-20,27.80455017089844,28804.220703125,0.0,-0.0018570308257777057,0.0018570308257777057,0.25054458717705597,0.1306623060686838,0.10318546624500169,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.0001484281094705853,0.0001484281094705853,0.050556046273075826
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-21,28.143630981445312,28710.279296875,0.012195155413870618,-0.0032613764218175634,0.015456531835688181,0.2657951727696548,0.1269747906826335,0.11864199808068987,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.0014879424374277638,0.01368309785129838,0.0642391441243742
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-22,27.75611114501953,28456.310546875,-0.013769361767188681,-0.008845917079867704,-0.004923444687320977,0.24836598111262842,0.11700566513315369,0.11371855339336889,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.006814674153333157,-0.006954687613855525,0.05728445651051868
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-23,28.72490882873535,28706.490234375,0.03490394164564581,0.008791712020709275,0.026112229624936534,0.29193887446979305,0.1268260572665052,0.13983078301830543,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.010008718149843762,0.024895223495802046,0.08217968000632073
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-24,29.54839134216309,28424.810546875,0.02866788954274968,-0.009812404275138409,0.03848029381788809,0.3289760354190774,0.11576918444484607,0.17831107683619352,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,-0.007736543705602193,0.036404433248351874,0.11858411325467261
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-27,30.27499008178711,28678.9296875,0.024590128484836438,0.00894004694265016,0.015650081542186278,0.36165572688330094,0.12574421333094543,0.1939611583783798,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.01015020522669759,0.014439923258138847,0.13302403651281144
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,EUR,Xetra,PRIMARY_DIRECT,Defence Contractor,True,2023-02-28,29.83902931213379,28648.130859375,-0.014400030139583353,-0.0010739183247282513,-0.013326111814855102,0.3420478433764451,0.12453525599129245,0.1806350465635247,2026-02-28,803,ok,0.0016228733462408816,0.9538352466333798,0.11629289059369896,0.000598532196109604,-0.014998562335692956,0.11802547417711849
