event_id,event_calendar_date,event_title,sample_group,relative_trading_day,company_count,aar,aar_standard_deviation,aar_standard_error,caar,ols_aar,ols_aar_standard_deviation,ols_aar_standard_error,ols_caar
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,-5,8,-0.004850823474831913,0.02254187349639209,0.007969755804974079,-0.004850823474831913,-0.008802269472640949,0.021121418612285513,0.0074675491645134215,-0.008802269472640949
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,-4,8,-0.0032669558228229745,0.016820351275460107,0.0059468922244088175,-0.008117779297654887,-0.001834026439690925,0.01659162397496555,0.00586602491179772,-0.010636295912331874
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,-3,8,-0.012459424109795038,0.015937900924490652,0.005634898910793342,-0.020577203407449923,-0.011082515753240013,0.01463550783507028,0.005174433418143521,-0.021718811665571887
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,-2,8,-0.004983796869278738,0.01712395842764888,0.006054233562473526,-0.02556100027672866,-0.007134194434507025,0.01690243569312787,0.00597591344859013,-0.02885300610007891
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,-1,8,0.005613867907077838,0.023462149329872044,0.008295122446181967,-0.019947132369650823,0.0040055568333847375,0.022450558601316842,0.007937471114208556,-0.024847449266694174
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,0,8,0.03663273989203321,0.03360371298954953,0.011880706663978472,0.016685607522382385,0.036280323546453365,0.03376323226508352,0.011937105244708496,0.01143287427975919
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,1,8,0.017254099432007862,0.041083504084375916,0.014525212166483715,0.03393970695439025,0.01383452908254635,0.041078907856024034,0.014523587154365967,0.02526740336230554
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,2,8,-0.008614933448185876,0.020590049768421666,0.00727968190810973,0.025324773506204372,-0.007983403314389738,0.02124442444775047,0.0075110382947048155,0.017284000047915804
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,3,8,-0.017353691339869852,0.03369926696172783,0.011914490094826764,0.00797108216633452,-0.019067624441278037,0.03401747869509901,0.012026994932086707,-0.0017836243933622362
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,4,8,0.02106764380790029,0.02284847341092447,0.008078155244312608,0.02903872597423481,0.01742153076004889,0.020464715057079006,0.007235369395955504,0.015637906366686653
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,5,8,0.013423932841010665,0.029529830704629573,0.010440371769267147,0.042462658815245476,0.014288067155224174,0.02650951563335414,0.009372529135157752,0.02992597352191083
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,6,8,-0.020305167136789374,0.021462671759766207,0.007588200371855848,0.022157491678456098,-0.02134808080338805,0.020224781235271966,0.007150539979737623,0.00857789271852278
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,7,8,-0.004654595214989787,0.02841199943055583,0.010045158732207177,0.01750289646346631,-0.00556407851009,0.029215852072123006,0.01032936355917061,0.00301381420843278
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,8,8,0.013256406604970374,0.02102602174388515,0.007433821278238493,0.030759303068436685,0.008890795937954388,0.02084229866415173,0.007368865360468504,0.011904610146387168
