event_id,event_calendar_date,effective_market_date,event_date_shift_days,event_title,event_type,affected_country_codes,event_verification_status,event_source_name,event_source_url,event_notes,company_id,company_name,market_data_ticker,benchmark_ticker,trade_currency,primary_listing_exchange,analysis_tier,role_category,is_confirmatory,sample_group,ols_estimation_window_observations,ols_status,ols_alpha,ols_beta,ols_r_squared,market_date,relative_trading_day,company_return,benchmark_return,abnormal_return,event_window_car,market_model_abnormal_return,ols_event_window_car
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-02-23,-5,-0.0347845039163497,-0.0021514101943356,-0.0326330937220141,-0.0326330937220141,-0.0328234619277812,-0.0328234619277812
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-02-24,-4,-0.0016380825337667,0.002593809381846,-0.0042318919156127,-0.0368649856376268,-0.004847590349308,-0.037671052277089195
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-02-25,-3,0.008969583702997,0.0046788788802327,0.0042907048227642,-0.032574280814862605,0.0034881144927601,-0.0341829377843291
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-02-26,-2,0.0122507157307443,0.0072273474503017,0.0050233682804425,-0.027550912534420106,0.0039923500135699,-0.030190587770759197
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-02-27,-1,-0.0133876379808526,-0.0046607139782451,-0.0087269240026074,-0.03627783653702751,-0.0086923747449744,-0.0388829625157336
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-03-02,0,-0.0214936924370988,-0.0217265026367159,0.000232810199617,-0.0360450263374105,0.0017970243470086,-0.037085938168725005
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-03-03,1,-0.026958113277746,-0.0346044060669742,0.0076462927892282,-0.028398733548182304,0.0103647973784618,-0.026721140790263206
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-03-04,2,0.0101471054774329,0.0078839337833194,0.0022631716941134,-0.026135561854068904,0.0011733013530231,-0.025547839437240108
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-03-05,3,-0.0074492060322274,-0.014928281918332,0.0074790758861046,-0.018656485967964303,0.008433942305486,-0.01711389713175411
EVT_PRIMARY_20260228,2026-02-28,2026-03-02,2,Primary conflict event specified in the approved research design,CONFLICT_ONSET,IR | IL | US,RESEARCH_DESIGN_PRE_SPECIFIED,United Nations News,https://news.un.org/en/story/2026/03/1167065,Primary date fixed before the market-universe analysis; the event study remains descriptive and does not infer causality.,CMP001,Airbus SE,AIR.PA,^FCHI,EUR,Euronext Paris,PRIMARY_DIRECT,Defence Contractor,True,CONFIRMATORY,807,ok,0.000383206445101,1.0896334133963037,0.3894494594783263,2026-03-06,4,-0.0021605762691286,-0.0065014755005492,0.0043408992314205,-0.014315586736543803,0.0045404422275462,-0.012573454904207911
