feature_id,source_snapshot_date,week_end_date,country_name,country_code,source_row_count,administrative_area_count,total_events,total_fatalities,political_violence_events,political_violence_fatalities,strike_events,strike_fatalities,air_drone_strike_events,air_drone_strike_fatalities,shelling_artillery_missile_events,shelling_artillery_missile_fatalities,violence_against_civilians_events,violence_against_civilians_fatalities,protest_events,riot_events,strategic_development_events,reviewed_by,source_url,created_at,market_date,company_ticker,benchmark_ticker,market_observation_count,company_price,benchmark_price,company_weekly_return,benchmark_weekly_return,weekly_abnormal_return,company_cumulative_return,benchmark_cumulative_return,cumulative_abnormal_return,market_source_url,market_conflict_id
b511f67d4b5637c9d55e9225ab8192ba79c3fc415aca82957745beb7e5c6955b,2026-08-22,2025-01-04,Israel,IL,13,6,45,0,3,0,2,0,0,0,2,0,0,0,36,3,4,Markus,https://acleddata.com/,2026-09-03T23:16:16.002815+00:00,2025-01-03,RHM.DE,^GDAXI,2,606.4381713867188,19906.080078125,0.019205207527025703,-0.005921702400926265,0.025126909927952,0.0192052075270257,-0.0059217024009263,0.025126909927952,https://finance.yahoo.com/,c302b50f2584935eb56365f5de0524de6a64699351c1d5889e520b231af064a0
b21da421525bd2d30534476192d47539e7d83e15502c4c3159fb5428a21ea4c1,2026-08-22,2025-01-04,Iran,IR,31,27,73,0,1,0,0,0,0,0,0,0,0,0,68,0,4,Markus,https://acleddata.com/,2026-09-03T23:16:15.359090+00:00,2025-01-03,RHM.DE,^GDAXI,2,606.4381713867188,19906.080078125,0.019205207527025703,-0.005921702400926265,0.025126909927952,0.0192052075270257,-0.0059217024009263,0.025126909927952,https://finance.yahoo.com/,635de8f1f541fc92669b451abaf7866b518e078d18e4a11e06494d6e1b69b343
b4e7a59357e67e6c6155a36c59f72a14b69596d3ffa1102052fb9e8f8c648791,2026-08-22,2025-01-11,Israel,IL,14,6,39,0,2,0,2,0,0,0,2,0,0,0,30,3,4,Markus,https://acleddata.com/,2026-09-03T23:16:15.995820+00:00,2025-01-10,RHM.DE,^GDAXI,5,640.3262939453125,20214.7890625,0.05588058957618558,0.015508276022371925,0.0403828341337322,0.0761589954227546,0.0094947382260897,0.0655097440616844,https://finance.yahoo.com/,9e3cf97e08c9885ed7a18ab2ea87876d7a9b1de92daae8a311a9f03089c13dca
b988b775e813aa9e594e2201db9eea978ed7253308edecfcf3da7ecb6455252a,2026-08-22,2025-01-11,Iran,IR,37,31,117,0,2,0,0,0,0,0,0,0,0,0,111,0,4,Markus,https://acleddata.com/,2026-09-03T23:16:15.359158+00:00,2025-01-10,RHM.DE,^GDAXI,5,640.3262939453125,20214.7890625,0.05588058957618558,0.015508276022371925,0.0403828341337322,0.0761589954227546,0.0094947382260897,0.0655097440616844,https://finance.yahoo.com/,66b0571d4c4798b9c4df56a4a2be36ff843caf35164de4120ff70652672833e9
db6296f92a74a5bc3bc8aad5b9209daa01f9ad0dea9948f25f2f5559adb746bc,2026-08-22,2025-01-18,Israel,IL,15,6,31,3,2,3,0,0,0,0,0,0,2,3,19,5,5,Markus,https://acleddata.com/,2026-09-03T23:16:16.010381+00:00,2025-01-17,RHM.DE,^GDAXI,5,684.0654907226562,20903.390625,0.06830766937251442,0.034064246743855886,0.0335768532018932,0.1496689082743494,0.0438824160756472,0.0990865972635777,https://finance.yahoo.com/,e5fd352c9ca66d0afd856d3ebf78b0014e12021c74d379d74244bc54c3d5b8be
280c0f97a9e80cdbcaac550bc9a19a0a55fccd324cfa767a808a6f0469b6a9b6,2026-08-22,2025-01-18,Iran,IR,28,26,69,4,2,4,0,0,0,0,0,0,1,3,67,0,0,Markus,https://acleddata.com/,2026-09-03T23:16:15.359235+00:00,2025-01-17,RHM.DE,^GDAXI,5,684.0654907226562,20903.390625,0.06830766937251442,0.034064246743855886,0.0335768532018932,0.1496689082743494,0.0438824160756472,0.0990865972635777,https://finance.yahoo.com/,b998606adac819ac2a28fb85f05418c4c60bc51c0660a12ea75ba2a5d6a6b727
4cdb17f395da3c1a41cb5ec2c4e974965a3a535df2850e242c99d1fb3a36a524,2026-08-22,2025-01-25,Israel,IL,11,6,31,0,0,0,0,0,0,0,0,0,0,0,24,3,4,Markus,https://acleddata.com/,2026-09-03T23:16:15.995959+00:00,2025-01-24,RHM.DE,^GDAXI,5,720.7117919921875,21394.9296875,0.053571334567422246,0.023514800604267805,0.0294267844874216,0.2112582060012775,0.0684291029439676,0.1285133817509994,https://finance.yahoo.com/,ffd6361f7573bf9d326323eb11c80667a228778247ddbdd43459e3f650bd86f3
bffd8bf96b2f767ae9b2eb999e38fe6333bd001a4b2dda43cea738d35e914505,2026-08-22,2025-01-25,Iran,IR,28,22,57,2,4,2,0,0,0,0,0,0,0,0,51,2,1,Markus,https://acleddata.com/,2026-09-03T23:16:15.359306+00:00,2025-01-24,RHM.DE,^GDAXI,5,720.7117919921875,21394.9296875,0.053571334567422246,0.023514800604267805,0.0294267844874216,0.2112582060012775,0.0684291029439676,0.1285133817509994,https://finance.yahoo.com/,1c4e4ec0349ef5b77ed382d2ba3159e8a3683bc016b54b919a3c344f99db1d3e
9dadd1a6b6b3ddc6afc2c4aa6898fce50dabd468b9d0bc26b892a4f33fe4f723,2026-08-22,2025-02-01,Israel,IL,8,6,13,0,0,0,0,0,0,0,0,0,0,0,11,1,1,Markus,https://acleddata.com/,2026-09-03T23:16:15.967812+00:00,2025-01-31,RHM.DE,^GDAXI,5,744.1576538085938,21732.05078125,0.03253153629080674,0.01575705546473305,0.016607570556033,0.2506622962873457,0.0852643995791904,0.1451209523070326,https://finance.yahoo.com/,09214267b10428366ba4d9bf20fc7dfabaa9b037839f1c3ce0b8611d5c26c5dc
b839562630a00539e53763f7a245a57b98029a36c90f3882c3689049a548a024,2026-08-22,2025-02-01,Iran,IR,23,23,56,0,0,0,0,0,0,0,0,0,0,0,53,0,3,Markus,https://acleddata.com/,2026-09-03T23:16:15.359386+00:00,2025-01-31,RHM.DE,^GDAXI,5,744.1576538085938,21732.05078125,0.03253153629080674,0.01575705546473305,0.016607570556033,0.2506622962873457,0.0852643995791904,0.1451209523070326,https://finance.yahoo.com/,71383e9c376cf52594e0452eb2da7bc3c80e7d2d740ea0c3729d73ebe91a8eba
